image_name,sunny,total_variation,brisque
00067019.png,True,26697.124348958332,451658440942.6657
00067734.png,True,38981.7421875,269206335950.54733
00066991.png,True,37440.240885416664,374361327222.60077
00073930.png,True,46524.154947916664,406529462284.81226
00068397.png,True,32700.034505208332,411930274652.96124
00068382.png,True,21417.360677083332,347171056625.7691
00066633.png,True,36818.893229166664,508594132732.29315
00067643.png,True,36265.8671875,289107406708.71533
00068387.png,True,32896.182291666664,344824649847.96985
00073855.png,True,37731.467447916664,317825067574.4133
00067229.png,True,28291.072265625,437300072750.25714
00026929.jpg,True,21347.435546875,264777304035.98868
00067712.png,True,39065.026041666664,244224734950.7104
00073657.png,True,31993.151041666668,551761268831.3247
00067321.png,True,29192.524739583332,438836462910.8851
00068411.png,True,34042.873697916664,396715956624.3713
00011890.jpg,True,11782.977864583334,376936855626.11896
00068428.png,True,33989.180989583336,392683044518.614
00068329.png,True,35031.930989583336,376229464615.17206
00068059.png,True,35563.123697916664,387892861143.5957
00027171.jpg,True,26889.377604166668,432930669873.2385
00067389.png,True,28720.923177083332,413084360940.5632
00073871.png,True,37967.5234375,238662987493.83197
00026607.jpg,True,22844.057291666668,305856211592.9266
00067825.png,True,37665.411458333336,265006514440.93686
00073970.png,True,47799.514322916664,381876996958.7492
00067029.png,True,24792.205729166668,394754101652.6391
00068545.png,True,29704.311848958332,471308103937.6216
00027115.jpg,True,24141.892578125,386448452270.75073
00026711.jpg,True,17610.376302083332,267017997740.87836
00011978.jpg,True,12290.660807291666,429421511566.7964
00068041.png,True,35852.57421875,379657274855.8772
00067186.png,True,26912.734375,450147496084.25525
00026843.jpg,True,19351.628255208332,221459698175.9799
00068084.png,True,34016.12890625,363795660167.4364
00073963.png,True,47611.356770833336,353443686192.5455
00066943.png,True,39750.890625,407700205076.0552
00027194.jpg,True,31693.161458333332,297963807078.2095
00067667.png,True,32071.39453125,290280144585.88116
00066892.png,True,32427.40625,405054340479.937
00067741.png,True,38835.927083333336,290342991968.24866
00073817.png,True,36481.46875,372268390048.1768
00011950.jpg,True,10616.16015625,422321321448.4042
00011952.jpg,True,10882.992838541666,409527316607.99384
00009156.jpg,True,14601.7607421875,356723239835.2914
00026636.jpg,True,23604.15234375,251698579367.7712
00066836.png,True,48022.303385416664,344525655135.1387
00068027.png,True,35931.127604166664,382800055197.31854
00012021.jpg,True,15440.204752604166,330996840155.9752
00026457.jpg,True,18855.821614583332,241826084773.42722
00009153.jpg,True,14703.07421875,344880945567.09784
00026600.jpg,True,24064.634765625,206988250742.80997
00009159.jpg,True,14424.256510416666,435868265178.9192
00067073.png,True,26411.784505208332,352483924147.2098
00067998.png,True,35473.528645833336,415332219908.5086
00012001.jpg,True,16264.05078125,338043511149.4907
00067374.png,True,24461.912109375,401148922210.10657
00068268.png,True,34584.829427083336,389132437342.4239
00073712.png,True,39019.102864583336,427012644499.7026
00073931.png,True,46434.361979166664,369612600297.37537
00074130.png,True,41558.463541666664,475378878220.8783
00067933.png,True,34964.9296875,388304789980.3168
00009203.jpg,True,15078.046223958334,359968462077.58044
00027092.jpg,True,25809.80859375,298746254094.52527
00068282.png,True,34528.404947916664,425191633487.88544
00067614.png,True,31363.7265625,319631781664.58014
00067111.png,True,23230.861979166668,451463924605.85406
00066670.png,True,42846.157552083336,458107340098.41516
00066659.png,True,41797.360677083336,451114275290.38007
00027089.jpg,True,25635.268880208332,232580422692.24924
00026887.jpg,True,22171.378255208332,365599177578.8657
00074036.png,True,38189.157552083336,439111400100.2789
00026998.jpg,True,20456.104166666668,384491784198.96484
00011884.jpg,True,12648.443684895834,350538831016.3792
00073782.png,True,40302.111979166664,386636708590.03326
00067141.png,True,25414.053385416668,459786306137.06757
00067556.png,True,23316.167317708332,408004735490.6886
00073702.png,True,38290.005208333336,466212759216.6024
00068418.png,True,34288.908854166664,404032421333.98676
00066704.png,True,29276.731119791668,322185772717.49536
00068285.png,True,34535.776041666664,388460070620.52966
00074041.png,True,37313.9453125,416927319667.49414
00067221.png,True,30438.3515625,526988368242.1391
00026625.jpg,True,21338.336588541668,279638760208.48914
00074065.png,True,38959.515625,382620945492.9756
00067139.png,True,25466.2578125,446964639628.5184
00027024.jpg,True,20718.080729166668,389531443642.53436
00067392.png,True,29959.095703125,394407581550.9664
00068196.png,True,34698.139322916664,392231374001.5668
00027117.jpg,True,23744.055989583332,298932949387.6764
00067312.png,True,28444.944010416668,436951265405.2723
00011960.jpg,True,11436.563151041666,392139800728.14905
00068157.png,True,34278.703125,380695575304.6751
00067929.png,True,35996.0625,242394680494.81116
00073741.png,True,37684.483072916664,394814481977.2104
00073775.png,True,41292.575520833336,378697635544.5398
00067685.png,True,38824.56640625,265146347752.54108
00068098.png,True,34261.09375,376978424474.6391
00073667.png,True,32915.735677083336,513543497586.6836
00067184.png,True,26771.99609375,469205092257.15643
00067977.png,True,36130.233072916664,352641701451.24866
00027042.jpg,True,20714.768880208332,306191448691.8351
00067390.png,True,29134.511067708332,378487925843.78235
00067404.png,True,32848.255208333336,463057205186.97705
00012035.jpg,True,14630.070638020834,278046219511.7245
00074089.png,True,39369.713541666664,441331024696.82025
00067329.png,True,28586.37890625,432745320707.55164
00026655.jpg,True,23007.080078125,266556294013.80728
00068466.png,True,33173.911458333336,579535109730.8042
00027183.jpg,True,31034.078776041668,288557796372.21875
00067361.png,True,28653.255208333332,459206769326.36554
00066926.png,True,36823.828125,403433634361.0846
00026867.jpg,True,20834.84765625,230003180245.45453
00073520.png,True,28755.425130208332,370107478477.1948
00026917.jpg,True,22447.31640625,324353087221.5716
00073683.png,True,33828.298177083336,463707229456.60205
00068319.png,True,34633.346354166664,383776675363.73627
00068210.png,True,34519.2265625,417096244006.93646
00073456.png,True,26453.838541666668,392785123241.75006
00073435.png,True,27805.395182291668,273003111757.96967
00073920.png,True,46022.032552083336,346780550126.32837
00009215.jpg,True,14455.251953125,398397714140.9845
00066995.png,True,37255.904947916664,353426896973.20557
00068497.png,True,31529.666666666668,471708390012.8075
00066798.png,True,48609.446614583336,365171862668.4003
00067651.png,True,37646.016927083336,290274384127.31323
00066891.png,True,32292.300130208332,419796671064.94714
00067237.png,True,27607.274088541668,432510831350.6196
00067757.png,True,38336.720052083336,285665166209.31433
00068072.png,True,35199.252604166664,401898988890.49316
00027201.jpg,True,31102.510416666668,322409307360.5755
00068352.png,True,35968.661458333336,414660627415.30774
00068195.png,True,34672.7265625,364804132958.60187
00027074.jpg,True,25226.466796875,249991386792.90564
00066640.png,True,38264.248697916664,505062705148.71686
00067265.png,True,29644.022786458332,423622547557.95935
00067744.png,True,38630.58984375,283158876903.85974
00027184.jpg,True,31291.950520833332,341407071223.84796
00073951.png,True,47597.591145833336,383306711561.73804
00067284.png,True,32001.95703125,416383975115.3045
00073763.png,True,39350.212239583336,320602600171.4844
00067611.png,True,30216.629557291668,323271484635.1815
00068256.png,True,34555.291666666664,397047363369.6255
00067070.png,True,26028.968098958332,365056281991.5552
00066740.png,True,37222.881510416664,298162032850.1384
00073674.png,True,33623.779947916664,539153739079.16907
00011880.jpg,True,12312.305989583334,324122570557.71326
00066980.png,True,39252.3359375,399951856343.0921
00074027.png,True,39663.552083333336,441987362125.85394
00027047.jpg,True,21042.833984375,364949937457.64886
00066985.png,True,38372.1328125,366194397513.42474
00073908.png,True,44137.841145833336,394398274451.0636
00066955.png,True,38219.654947916664,468384983497.68616
00067346.png,True,29068.239583333332,369087956412.51135
00073721.png,True,36998.345052083336,478765403252.52594
00073687.png,True,34056.169270833336,453381103792.7628
00073861.png,True,37906.653645833336,295614098161.25397
00073887.png,True,40776.45703125,364722390439.709
00068416.png,True,34371.333333333336,381800767989.6088
00067109.png,True,23074.819010416668,494835523459.44727
00066894.png,True,31968.2578125,397762573646.88916
00068413.png,True,34287.19140625,411674271161.643
00067986.png,True,36181.140625,385590123994.57446
00068133.png,True,32678.80078125,371580232176.0119
00066956.png,True,39823.536458333336,450770217140.5405
00067993.png,True,36048.56640625,370605974742.7814
00009236.jpg,True,16416.770833333332,329632686045.7255
00027178.jpg,True,29865.727864583332,311284587709.05676
00067653.png,True,37683.75,244327614011.73892
00073731.png,True,35112.046875,436916644497.79724
00074043.png,True,37249.770833333336,405297262714.2471
00068130.png,True,32480.366536458332,367905705544.0276
00026652.jpg,True,23371.867838541668,231210216681.8548
00067548.png,True,24707.668619791668,409957231167.47687
00067728.png,True,39359.076822916664,290273804867.2487
00026529.jpg,True,26801.237630208332,194472332742.81265
00026730.jpg,True,17271.770182291668,291271344770.1278
00027167.jpg,True,25358.016927083332,365524889696.298
00066717.png,True,28517.942708333332,448397713461.11896
00073489.png,True,30393.013671875,367284402010.71356
00067398.png,True,31865.759114583332,431660817997.16547
00067926.png,True,35965.735677083336,263620856733.05945
00073530.png,True,27684.12109375,387873733300.8433
00068488.png,True,39064.634114583336,440876306123.8665
00074011.png,True,23002.466145833332,425769984090.5515
00026594.jpg,True,22820.025390625,228180287106.88544
00068380.png,True,35119.631510416664,409861996211.28845
00073631.png,True,30952.463541666668,489219751139.6277
00073496.png,True,30615.578125,367327301246.9825
00067416.png,True,32289.220052083332,392971535938.0904
00068216.png,True,34546.10546875,423794312619.7477
00026757.jpg,True,17668.719401041668,310797121358.69714
00011948.jpg,True,10335.503255208334,386911572666.64417
00026888.jpg,True,20525.854166666668,300866326838.554
00026554.jpg,True,19410.954427083332,201921488186.3087
00068177.png,True,34763.923177083336,379351030733.07477
00067583.png,True,23009.048828125,309840647032.9118
00066709.png,True,27279.97265625,389136502010.72815
00067038.png,True,24851.32421875,361024507500.7339
00026782.jpg,True,17187.095703125,282650380018.3277
00068439.png,True,33977.227864583336,366275104598.7435
00026915.jpg,True,22010.380859375,404518751187.49805
00066977.png,True,39835.001302083336,434529499150.6931
00067225.png,True,30235.217447916668,405220130571.93774
00066834.png,True,47680.212239583336,309709174714.8352
00067664.png,True,21774.539713541668,277282009318.75995
00067823.png,True,37663.053385416664,291679886239.4315
00067549.png,True,24579.373697916668,421477821254.17017
00026447.jpg,True,17858.504557291668,225546600154.45517
00067749.png,True,38593.805989583336,264300596394.93848
00068000.png,True,35370.076822916664,382034180025.6869
00067820.png,True,37724.567708333336,264333793452.30444
00073980.png,True,46347.274739583336,338059223559.1223
00012041.jpg,True,15700.318033854166,308077672645.8207
00067344.png,True,29311.710286458332,442339423815.08545
00026804.jpg,True,15515.413411458334,359629042963.8021
00026865.jpg,True,20160.771484375,256666956307.51874
00026624.jpg,True,21127.805338541668,228588381240.36035
00027009.jpg,True,20617.033203125,400200909053.9496
00067152.png,True,25578.248046875,483651129934.719
00027010.jpg,True,20555.307942708332,373917155786.44714
00026609.jpg,True,22321.716145833332,301677628098.4245
00067319.png,True,29017.632161458332,429986085420.8179
00068224.png,True,34602.282552083336,397771617804.44995
00068404.png,True,32980.539713541664,389338294385.06287
00073944.png,True,47181.91015625,353742131437.7257
00027137.jpg,True,22762.619140625,363630155038.29535
00009185.jpg,True,15439.211588541666,315533182011.6389
00026504.jpg,True,23549.93359375,264519047250.553
00068221.png,True,34573.204427083336,417326437280.75085
00067723.png,True,39360.423177083336,271034277590.39307
00012003.jpg,True,17121.171875,369869448819.7762
00009174.jpg,True,14699.820638020834,360899442657.7105
00027144.jpg,True,21967.641927083332,299052558967.1174
00067096.png,True,28718.697916666668,427416630817.86304
00066695.png,True,31504.115885416668,335388699283.05334
00067729.png,True,39328.404947916664,261490196326.26932
00067533.png,True,25233.223307291668,422157373610.06775
00067965.png,True,35883.927083333336,381998480116.2981
00026943.jpg,True,21184.861979166668,301618747160.19366
00067455.png,True,35555.157552083336,391883174738.25275
00011914.jpg,True,11150.858723958334,348265763775.2365
00067921.png,True,35832.901041666664,270158982184.82693
00068203.png,True,34696.5234375,430299748490.0579
00009184.jpg,True,15253.881184895834,361371046264.85535
00027142.jpg,True,22295.0703125,337295188693.6237
00068491.png,True,35481.51953125,423243973303.53735
00067871.png,True,36135.4921875,256436325541.40247
00066811.png,True,47479.114583333336,334774922720.1398
00067505.png,True,29856.456380208332,382077480667.6061
00026620.jpg,True,13014.190104166666,238115098749.37714
00009148.jpg,True,14904.3544921875,317987596160.3469
00027162.jpg,True,23581.400390625,386450348411.2695
00073353.png,True,31639.857421875,348381732983.055
00068540.png,True,28915.298828125,491970198726.8224
00067213.png,True,29366.470703125,396764176631.09106
00026647.jpg,True,24201.28125,208624860549.65994
00073828.png,True,36660.83984375,275348479433.47186
00027132.jpg,True,22838.626953125,333475117566.86914
00067516.png,True,28148.761067708332,435939183835.5012
00067830.png,True,37349.188802083336,239353103953.43875
00067145.png,True,26456.914713541668,455313573440.7007
00068288.png,True,34567.532552083336,395440252877.797
00027096.jpg,True,25812.497395833332,249663208718.64844
00068269.png,True,34579.28125,392274177601.381
00067919.png,True,35860.42578125,258892065320.55975
00026807.jpg,True,15561.560546875,411778904277.2299
00067517.png,True,27953.637369791668,376280081726.1041
00026537.jpg,True,21937.716796875,279744814789.0231
00066996.png,True,36969.092447916664,366847385299.867
00068495.png,True,31609.692708333332,481683529532.4829
00067193.png,True,26661.483072916668,476338067172.47565
00011939.jpg,True,9054.979166666666,404560100875.1847
00073773.png,True,41447.90234375,396174475016.4158
00073682.png,True,33796.063802083336,471326272123.26807
00011991.jpg,True,15922.962565104166,367615103595.89136
00026518.jpg,True,25401.923177083332,232810910549.8672
00067631.png,True,34658.657552083336,314651741369.5008
00067903.png,True,35917.778645833336,211057165676.25885
00066855.png,True,41665.401041666664,393731175095.4297
00067249.png,True,27605.211588541668,395531435419.0611
00066853.png,True,42959.438802083336,359379779035.2122
00068213.png,True,34552.62109375,414850291320.2525
00066732.png,True,32952.580729166664,370712217741.59705
00012019.jpg,True,16072.843424479166,355128085523.3603
00067502.png,True,30353.878255208332,415819252630.19995
00068361.png,True,35904.231770833336,382308067927.5957
00067313.png,True,27922.334635416668,382096871034.4977
00073554.png,True,28183.776692708332,385544430198.816
00067107.png,True,23240.8671875,450043838446.5061
00012053.jpg,True,16333.30078125,365240344355.52655
00074000.png,True,45421.908854166664,386074496768.82947
00066946.png,True,39416.03515625,455466536640.0084
00066729.png,True,32232.390625,349053398011.5084
00067676.png,True,39081.466145833336,260065337591.5208
00073529.png,True,27812.380208333332,364740797700.87036
00067266.png,True,29763.125651041668,412394445582.13135
00066905.png,True,33255.795572916664,424023026421.4608
00068539.png,True,29249.233723958332,508560313850.0927
00067953.png,True,35475.893229166664,379084214947.28217
00073962.png,True,47564.569010416664,392578504707.9778
00026997.jpg,True,20548.20703125,405555192732.45215
00027091.jpg,True,25775.462239583332,252274738821.49655
00026448.jpg,True,18207.946614583332,393777238051.131
00026469.jpg,True,17456.259114583332,299420214733.6091
00068174.png,True,34739.859375,374202948057.1059
00067163.png,True,26544.529296875,461468593744.55634
00026797.jpg,True,15316.102213541666,374864422258.41736
00068220.png,True,34598.791666666664,397846985509.58997
00027156.jpg,True,20924.830078125,459494602479.2379
00011951.jpg,True,10920.814778645834,357924931993.70306
00027018.jpg,True,20606.022135416668,338423785583.833
00073455.png,True,26293.122395833332,403352402287.68585
00027064.jpg,True,23371.882161458332,267285761782.3875
00066828.png,True,46571.817708333336,336208410147.4248
00012031.jpg,True,13688.250651041666,326144808711.73114
00011904.jpg,True,11314.330078125,283338658952.0248
00073425.png,True,29568.046223958332,268029267701.9117
00073632.png,True,31004.974609375,476317668931.1281
00067645.png,True,36521.796875,268912186745.27686
00067995.png,True,35846.723958333336,398955548764.4179
00067364.png,True,27973.485026041668,436587516902.77344
00012044.jpg,True,15944.934244791666,301890761372.45856
00066815.png,True,47048.1171875,327289993627.9565
00026951.jpg,True,20646.52734375,290055559450.0355
00074002.png,True,45189.458333333336,416096429906.6905
00067626.png,True,33939.34765625,323808863637.4622
00067897.png,True,35944.244791666664,242481262672.4269
00067722.png,True,39361.515625,276008141124.4618
00073605.png,True,24963.663411458332,518398956598.1136
00011891.jpg,True,10035.035807291666,400854050963.79175
00067212.png,True,29538.32421875,412891651525.2052
00067838.png,True,36943.84765625,290404751829.70935
00067429.png,True,30693.847005208332,405072024609.62836
00026486.jpg,True,19298.782552083332,212647141553.03503
00068103.png,True,34184.013020833336,404764537489.55396
00073713.png,True,38849.51171875,398434477164.71735
00026586.jpg,True,20104.98046875,281623640979.1079
00073380.png,True,35093.015625,355393566296.79944
00073580.png,True,31912.94140625,466440332588.8529
00068492.png,True,33638.970052083336,526530625833.8568
00068370.png,True,35675.454427083336,367683653302.72797
00066975.png,True,39284.188802083336,482248685682.50415
00074105.png,True,40530.376302083336,405212689978.2379
00011944.jpg,True,10162.787109375,337209288573.95624
00067544.png,True,25521.49609375,508833720930.4507
00073440.png,True,27383.759765625,323493688347.682
00026628.jpg,True,21567.955729166668,222171114108.64212
00073955.png,True,47958.384114583336,387793843029.9956
00066932.png,True,37100.7578125,398981832010.01025
00068043.png,True,35921.484375,408125081105.7329
00026672.jpg,True,17079.000651041668,283232960923.6027
00026976.jpg,True,19899.535807291668,334539172190.3654
00067009.png,True,29079.854817708332,464215950204.76935
00068302.png,True,34525.768229166664,371367136620.6051
00009179.jpg,True,14647.505533854166,381550510131.58356
00068146.png,True,33141.061197916664,369438081129.2703
00068405.png,True,33152.576822916664,391072356639.1925
00067464.png,True,35421.69140625,412121927522.0558
00068489.png,True,38723.647135416664,466062346202.1112
00026779.jpg,True,17277.18359375,279157378700.0037
00067520.png,True,27588.024739583332,429106973576.5979
00067920.png,True,35887.651041666664,251228057153.4332
00067731.png,True,39272.48828125,260437339618.84644
00066817.png,True,47550.579427083336,316300903575.17395
00026532.jpg,True,25529.184895833332,213966969294.41974
00073375.png,True,33662.270833333336,380929081233.8351
00073526.png,True,28274.587239583332,431763145327.5517
00073794.png,True,39942.751302083336,369988726562.5788
00068128.png,True,32450.912109375,384803989795.22363
00066767.png,True,36879.342447916664,511597216850.91656
00067400.png,True,32451.511067708332,457773342551.2016
00011999.jpg,True,16276.109049479166,330008179486.58374
00066852.png,True,44071.19921875,354213496815.3535
00073818.png,True,36552.674479166664,322134676495.3118
00073428.png,True,29444.088541666668,271987403081.93433
00068399.png,True,32719.783203125,386261489646.52747
00009199.jpg,True,17396.447265625,325276639042.53925
00068308.png,True,34588.290364583336,380957779862.9386
00067440.png,True,30883.928385416668,384939696398.5036
00073912.png,True,44995.686197916664,326267249780.1299
00067244.png,True,26999.6328125,420744980968.7671
00068092.png,True,34281.997395833336,396878366987.917
00026964.jpg,True,20333.2890625,373748827581.1206
00066922.png,True,36629.377604166664,460417841396.5458
00073589.png,True,31236.466145833332,476774235446.27136
00068326.png,True,34787.736979166664,397827159622.82404
00073707.png,True,39376.4140625,490542942800.81464
00067373.png,True,24654.42578125,475678339587.29614
00027082.jpg,True,25633.171223958332,255102132586.49045
00073918.png,True,46101.470052083336,323491520422.55066
00027173.jpg,True,27950.965494791668,402987428233.80316
00067045.png,True,25323.216145833332,398494344080.7612
00073502.png,True,30703.741536458332,386830712130.2075
00067856.png,True,36461.295572916664,252993957148.0794
00026971.jpg,True,20214.58984375,297356372748.25684
00073752.png,True,37721.553385416664,431377176884.42535
00067039.png,True,25115.557291666668,415620943266.76733
00067547.png,True,24866.600260416668,453498065035.60754
00011878.jpg,True,12037.235677083334,375029264303.6353
00073344.png,True,31860.767578125,392953175949.1531
00067663.png,True,21833.607421875,307890207748.51526
00067891.png,True,35934.0703125,248707412669.90417
00073403.png,True,38259.033854166664,336610291230.4693
00067755.png,True,38283.334635416664,257005259252.81058
00073532.png,True,27599.466796875,365267984117.9385
00026752.jpg,True,17049.757161458332,293916544733.1553
00067776.png,True,37819.005208333336,297286502761.07446
00066809.png,True,48030.94921875,374032146809.9157
00067411.png,True,32849.677083333336,404150759452.84985
00073914.png,True,45362.673177083336,325562533367.72876
00066660.png,True,42461.850260416664,438621941472.13776
00066918.png,True,36226.381510416664,468440567587.79553
00066807.png,True,47466.677083333336,331293244588.9172
00026526.jpg,True,26726.048177083332,190603068618.78308
00067694.png,True,38918.541666666664,282460443226.0343
00067778.png,True,37770.490885416664,275123634849.06067
